category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SUCCESS,28,0,8,12 28 37 47 57 59 64 67,12,4,12000,1,67,7,12 28 37 47 57 59 64 67
MISSING_TARGET,,1,1,9,9,0,12000,1,60,,9
INVALID_EDGE,13,2,8,6 13 27 35 6 35 6 89,6,2,12000,1,88,,6 13 27 35 6 35 6 89
SUCCESS,29,3,10,11 29 35 40 48 57 59 64 65 68,11,5,12000,1,68,9,11 29 35 40 48 57 59 64 65 68
SUCCESS,29,4,11,21 29 35 40 48 57 59 64 67 71 75,21,5,12000,1,75,10,21 29 35 40 48 57 59 64 67 71 75
SUCCESS,16,5,9,1 16 28 37 47 57 59 64 67,1,4,12000,1,67,8,1 16 28 37 47 57 59 64 67
MISSING_TARGET,35,6,2,23 35,23,1,12000,1,74,,23 35
SUCCESS,25,7,11,19 25 31 37 47 57 59 64 80 81 87,19,5,12000,1,87,10,19 25 31 37 47 57 59 64 80 81 87
MISSING_TARGET,,8,1,5,5,0,12000,1,64,,5
SUCCESS,28,9,9,26 28 37 47 57 59 64 67 71,26,4,12000,1,71,8,26 28 37 47 57 59 64 67 71
SUCCESS,28,10,6,25 28 37 47 57 70,25,3,12000,1,70,5,25 28 37 47 57 70
MISSING_TARGET,,11,1,17,17,0,12000,1,69,,17
SUCCESS,31,12,9,20 31 37 47 57 59 64 67 71,20,5,12000,1,71,8,20 31 37 47 57 59 64 67 71
MISSING_TARGET,35,13,2,0 35,0,1,12000,1,69,,0 35
SUCCESS,28,14,5,26 28 37 47 65,26,2,12000,1,65,4,26 28 37 47 65
MISSING_TARGET,13,15,2,2 13,2,0,12000,1,66,,2 13
SUCCESS,28,16,8,26 28 37 47 57 59 64 74,26,4,12000,1,74,7,26 28 37 47 57 59 64 74
INVALID_EDGE,35,17,7,23 35 40 48 57 59 23,23,5,12000,1,89,,23 35 40 48 57 59 23
INVALID_EDGE,13,18,13,7 13 27 35 40 48 23 35 40 48 65 68 74,7,6,12000,1,84,,7 13 27 35 40 48 23 35 40 48 65 68 74
SUCCESS,31,19,7,20 31 37 47 65 67 80,20,3,12000,1,80,6,20 31 37 47 65 67 80
SUCCESS,18,20,10,14 18 32 47 57 59 64 67 78 79,14,4,12000,1,79,9,14 18 32 47 57 59 64 67 78 79
MISSING_TARGET,28,21,6,26 28 37 47 50 52,26,4,12000,1,61,,26 28 37 47 50 52
MISSING_TARGET,25,22,7,18 25 28 37 47 57 59,18,4,12000,1,85,,18 25 28 37 47 57 59
SUCCESS,35,23,6,22 35 40 48 57 70,22,4,12000,1,70,5,22 35 40 48 57 70
INVALID_EDGE,6,24,7,4 6 13 27 35 4 46,4,2,12000,1,68,,4 6 13 27 35 4 46
SUCCESS,31,25,9,20 31 37 47 56 61 67 80 83,20,4,12000,1,83,8,20 31 37 47 56 61 67 80 83
SUCCESS,37,26,6,28 37 47 65 67 71,28,2,12000,1,71,5,28 37 47 65 67 71
SUCCESS,35,27,7,27 35 40 48 65 67 78,27,3,12000,1,78,6,27 35 40 48 65 67 78
SUCCESS,28,28,9,16 28 37 47 57 59 64 80 82,16,4,12000,1,82,8,16 28 37 47 57 59 64 80 82
SUCCESS,35,29,7,29 35 40 48 65 67 78,29,3,12000,1,78,6,29 35 40 48 65 67 78
MISSING_TARGET,13,30,4,2 13 27 35,2,1,12000,1,83,,2 13 27 35
MISSING_TARGET,23,31,2,10 23,10,0,12000,1,78,,10 23
MISSING_TARGET,25,32,4,19 25 31 37,19,2,12000,1,85,,19 25 31 37
SUCCESS,18,33,7,14 18 32 47 57 60 69,14,3,12000,1,69,6,14 18 32 47 57 60 69
SUCCESS,25,34,10,18 25 28 37 47 57 59 64 65 68,18,4,12000,1,68,9,18 25 28 37 47 57 59 64 65 68
SUCCESS,35,35,8,0 35 40 48 65 67 71 75,0,3,12000,1,75,7,0 35 40 48 65 67 71 75
SUCCESS,35,36,6,24 35 40 48 57 66,24,4,12000,1,66,5,24 35 40 48 57 66
SUCCESS,27,37,9,13 27 35 40 48 65 67 80 83,13,3,12000,1,83,8,13 27 35 40 48 65 67 80 83
MISSING_TARGET,23,38,2,10 23,10,0,12000,1,71,,10 23
MISSING_TARGET,,39,1,9,9,0,12000,1,84,,9
MISSING_TARGET,,40,1,19,19,0,12000,1,72,,19
MISSING_TARGET,35,41,2,11 35,11,1,12000,1,61,,11 35
MISSING_TARGET,24,42,3,3 24 35,3,1,12000,1,82,,3 24 35
SUCCESS,29,43,10,4 29 35 40 48 65 67 80 82 86,4,3,12000,1,86,9,4 29 35 40 48 65 67 80 82 86
MISSING_TARGET,,44,1,16,16,0,12000,1,70,,16
INVALID_EDGE,28,45,7,12 28 37 47 57 59 12,12,4,12000,1,77,,12 28 37 47 57 59 12
SUCCESS,26,46,9,16 26 28 37 47 65 67 80 81,16,2,12000,1,81,8,16 26 28 37 47 65 67 80 81
