avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_INVALID_TOKEN,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_INVALID_TOKEN,rate_MISSING_TARGET,rate_SUCCESS,step,task_type
7.8,4.696296296296296,1,0,85,49,135,0.007407407407407408,0,0.6296296296296297,0.362962962962963,5000,s1s3
7.474074074074074,3.859259259259259,16,0,65,54,135,0.11851851851851852,0,0.48148148148148145,0.4,10000,s1s3
6.4148148148148145,3.5925925925925926,22,0,64,49,135,0.16296296296296298,0,0.4740740740740741,0.362962962962963,15000,s1s3
6.444444444444445,3.4814814814814814,29,0,57,49,135,0.21481481481481482,0,0.4222222222222222,0.362962962962963,20000,s1s3
6.488888888888889,3.4074074074074074,31,0,59,45,135,0.22962962962962963,0,0.43703703703703706,0.3333333333333333,25000,s1s3
6.029629629629629,3.22962962962963,30,0,67,38,135,0.2222222222222222,0,0.4962962962962963,0.2814814814814815,30000,s1s3
6.2,3.2444444444444445,35,0,60,40,135,0.25925925925925924,0,0.4444444444444444,0.2962962962962963,35000,s1s3
6.7481481481481485,3.466666666666667,29,0,60,46,135,0.21481481481481482,0,0.4444444444444444,0.34074074074074073,40000,s1s3
6.229629629629629,3.3185185185185184,33,0,55,47,135,0.24444444444444444,0,0.4074074074074074,0.34814814814814815,45000,s1s3
6.844444444444444,3.6148148148148147,37,1,45,52,135,0.2740740740740741,0.007407407407407408,0.3333333333333333,0.3851851851851852,50000,s1s3
