category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SRC_MISMATCH_INVALID_EDGE,18,0,5,18 54 67 67,12,1,16000,1,67,3,12 18 54 67 67
SRC_MISMATCH_INVALID_EDGE,35,1,6,35 51 50 52 60,9,4,16000,1,60,5,9 35 51 50 52 60
SRC_MISMATCH_NO_TARGET,38,2,3,38 50,6,2,16000,1,88,,6 38 50
SRC_MISMATCH_INVALID_EDGE,24,3,8,24 35 65 68 30 56 65,11,3,16000,1,68,4,11 24 35 65 68 30 56 65
SRC_MISMATCH,57,4,5,57 60 71 75,21,1,16000,1,75,4,21 57 60 71 75
SRC_MISMATCH_INVALID_EDGE,15,5,6,15 50 62 65 75,1,1,16000,1,67,,1 15 50 62 65 75
SRC_MISMATCH_INVALID_EDGE,37,6,24,37 47 50 65 68 78 77 37 47 56 59 72 74 77 42 46 47 56 63 66 71 75 77,23,11,16000,1,74,13,23 37 47 50 65 68 78 77 37 47 56 59 72 74 77 42 46 47 56 63 66 71 75 77
SRC_MISMATCH_INVALID_EDGE,68,7,33,68 76 82 87 57 76 80 81 18 42 45 70 19 32 34 42 45 52 80 82 87 45 52 80 82 87 80 82 87 80 82 87,19,10,16000,0,87,4,19 68 76 82 87 57 76 80 81 18 42 45 70 19 32 34 42 45 52 80 82 87 45 52 80 82 87 80 82 87 80 82 87
SRC_MISMATCH_INVALID_EDGE,7,8,16,7 13 30 49 52 61 71 71 75 36 52 61 71 75 84,5,5,16000,1,64,,5 7 13 30 49 52 61 71 71 75 36 52 61 71 75 84
STOP_BEFORE_START,,9,0,,26,0,16000,1,71,,26
SRC_MISMATCH,31,10,5,31 37 48 70,25,3,16000,1,70,4,25 31 37 48 70
SRC_MISMATCH_INVALID_EDGE,27,11,10,27 41 47 50 66 60 54 58 69,17,5,16000,1,69,9,17 27 41 47 50 66 60 54 58 69
SRC_MISMATCH,40,12,5,40 45 66 71,20,2,16000,1,71,4,20 40 45 66 71
SRC_MISMATCH_INVALID_EDGE,11,13,12,11 29 37 55 60 58 60 63 60 65 70,0,3,16000,1,69,,0 11 29 37 55 60 58 60 63 60 65 70
SRC_MISMATCH_INVALID_EDGE,56,14,4,56 66 72,26,1,16000,1,65,,26 56 66 72
SRC_MISMATCH_INVALID_EDGE,4,15,11,4 19 45 49 27 37 44 80 58 61,2,5,16000,1,66,,2 4 19 45 49 27 37 44 80 58 61
SRC_MISMATCH,57,16,6,57 64 65 68 74,26,1,16000,1,74,5,26 57 64 65 68 74
SRC_MISMATCH_INVALID_EDGE,24,17,6,24 42 63 72 87,23,1,16000,1,89,,23 24 42 63 72 87
SRC_MISMATCH,9,18,8,9 29 43 47 74 75 84,7,2,16000,1,84,7,7 9 29 43 47 74 75 84
SRC_MISMATCH_INVALID_EDGE,60,19,8,60 67 81 49 67 71 89,20,1,16000,1,80,,20 60 67 81 49 67 71 89
SRC_MISMATCH_INVALID_EDGE,39,20,20,39 59 78 80 32 38 56 78 79 30 32 79 13 19 32 38 58 76 79,14,10,16000,1,79,9,14 39 59 78 80 32 38 56 78 79 30 32 79 13 19 32 38 58 76 79
SRC_MISMATCH_NO_TARGET,28,21,5,28 47 56 62,26,2,16000,1,61,,26 28 47 56 62
SRC_MISMATCH_INVALID_EDGE,37,22,4,37 58 81,18,2,16000,1,85,,18 37 58 81
SRC_MISMATCH_INVALID_EDGE,35,23,21,35 40 43 47 65 57 69 9 11 22 35 24 27 49 21 29 36 40 45 49,22,11,16000,1,70,,22 35 40 43 47 65 57 69 9 11 22 35 24 27 49 21 29 36 40 45 49
SRC_MISMATCH_INVALID_EDGE,11,24,3,11 42,4,1,16000,1,68,,4 11 42
SRC_MISMATCH_INVALID_EDGE,33,25,6,33 61 64 80 83,20,1,16000,1,83,5,20 33 61 64 80 83
SRC_MISMATCH,37,26,3,37 71,28,1,16000,1,71,2,28 37 71
SRC_MISMATCH_INVALID_EDGE,28,27,6,28 78 24 42 78,27,1,16000,1,78,2,27 28 78 24 42 78
SRC_MISMATCH,40,28,4,40 42 82,16,2,16000,1,82,3,16 40 42 82
SRC_MISMATCH_NO_TARGET,56,29,4,56 73 76,29,1,16000,1,78,,29 56 73 76
SRC_MISMATCH_INVALID_EDGE,37,30,33,37 43 69 76 80 83 47 76 82 26 39 43 47 69 76 79 54 62 66 72 78 79 10 43 54 52 60 63 66 72 78 79,2,10,16000,0,83,6,2 37 43 69 76 80 83 47 76 82 26 39 43 47 69 76 79 54 62 66 72 78 79 10 43 54 52 60 63 66 72 78 79
SRC_MISMATCH_INVALID_EDGE,72,31,9,72 74 67 78 89 59 64 65,10,1,16000,1,78,4,10 72 74 67 78 89 59 64 65
SRC_MISMATCH_INVALID_EDGE,57,32,3,57 85,19,1,16000,1,85,2,19 57 85
SRC_MISMATCH_INVALID_EDGE,69,33,3,69 64,14,0,16000,1,69,1,14 69 64
SRC_MISMATCH,36,34,4,36 65 68,18,1,16000,1,68,3,18 36 65 68
SRC_MISMATCH_INVALID_EDGE,28,35,8,28 56 64 65 33 57 60,0,3,16000,1,75,,0 28 56 64 65 33 57 60
SRC_MISMATCH,36,36,5,36 60 63 66,24,1,16000,1,66,4,24 36 60 63 66
SRC_MISMATCH_NO_TARGET,27,37,5,27 37 72 74,13,1,16000,1,83,,13 27 37 72 74
SRC_MISMATCH_INVALID_EDGE,80,38,3,80 70,10,0,16000,1,71,,10 80 70
SRC_MISMATCH_INVALID_EDGE,75,39,3,75 84,9,0,16000,1,84,2,9 75 84
STOP_BEFORE_START,,40,0,,19,0,16000,1,72,,19
SRC_MISMATCH_INVALID_EDGE,17,41,12,17 29 37 43 69 84 35 13 19 32 40,11,5,16000,1,61,,11 17 29 37 43 69 84 35 13 19 32 40
SRC_MISMATCH_INVALID_EDGE,8,42,5,8 37 40 77,3,2,16000,1,82,,3 8 37 40 77
SRC_MISMATCH,33,43,5,33 48 78 86,4,2,16000,1,86,4,4 33 48 78 86
SRC_MISMATCH_NO_TARGET,26,44,4,26 57 59,16,2,16000,1,70,,16 26 57 59
SRC_MISMATCH_INVALID_EDGE,20,45,8,20 66 71 75 77 39 43,12,2,16000,1,77,5,12 20 66 71 75 77 39 43
SRC_MISMATCH_INVALID_EDGE,34,46,10,34 43 69 76 81 20 33 42 82,16,4,16000,1,81,5,16 34 43 69 76 81 20 33 42 82
SRC_MISMATCH,34,47,6,34 66 74 82 87,4,1,16000,1,87,5,4 34 66 74 82 87
SRC_MISMATCH_INVALID_EDGE,45,48,12,45 53 78 19 25 31 33 44 58 61 78,28,6,16000,1,78,3,28 45 53 78 19 25 31 33 44 58 61 78
SRC_MISMATCH_INVALID_EDGE,32,49,3,32 63,21,1,16000,1,63,2,21 32 63
SRC_MISMATCH_INVALID_EDGE,51,50,5,51 61 59 64,24,2,16000,1,64,4,24 51 61 59 64
SRC_MISMATCH_INVALID_EDGE,32,51,4,32 75 79,1,1,16000,1,79,3,1 32 75 79
SRC_MISMATCH_INVALID_EDGE,12,52,5,12 18 57 60,8,1,16000,1,60,4,8 12 18 57 60
SRC_MISMATCH,36,53,5,36 52 75 84,18,2,16000,1,84,4,18 36 52 75 84
SRC_MISMATCH_INVALID_EDGE,15,54,8,15 29 56 62 66 68 67,9,1,16000,1,67,7,9 15 29 56 62 66 68 67
SRC_MISMATCH_INVALID_EDGE,56,55,8,56 81 33 43 54 76 80,23,4,16000,1,81,2,23 56 81 33 43 54 76 80
SRC_MISMATCH_NO_TARGET,17,56,9,17 19 44 53 63 66 72 80,6,2,16000,1,78,,6 17 19 44 53 63 66 72 80
SRC_MISMATCH_INVALID_EDGE,41,57,3,41 80,27,1,16000,1,80,2,27 41 80
SRC_MISMATCH_INVALID_EDGE,57,58,3,57 69,9,1,16000,1,69,2,9 57 69
SRC_MISMATCH_NO_TARGET,20,59,6,20 37 53 69 76,16,2,16000,1,79,,16 20 37 53 69 76
SRC_MISMATCH_INVALID_EDGE,40,60,17,40 74 75 11 19 25 40 43 81 59 64 80 27 41 76 80,17,5,16000,1,85,,17 40 74 75 11 19 25 40 43 81 59 64 80 27 41 76 80
SRC_MISMATCH_INVALID_EDGE,48,61,3,48 67,28,1,16000,1,67,2,28 48 67
SRC_MISMATCH,41,62,3,41 62,26,1,16000,1,62,2,26 41 62
SRC_MISMATCH,18,63,7,18 32 49 60 73 76,14,2,16000,1,76,6,14 18 32 49 60 73 76
SRC_MISMATCH_INVALID_EDGE,32,64,4,32 42 74,0,2,16000,1,74,3,0 32 42 74
SRC_MISMATCH_INVALID_EDGE,28,65,4,28 58 63,16,1,16000,1,61,,16 28 58 63
SRC_MISMATCH,13,66,5,13 30 80 81,7,1,16000,1,81,4,7 13 30 80 81
SRC_MISMATCH_INVALID_EDGE,33,67,18,33 57 59 37 41 45 56 59 88 17 18 36 40 42 46 47 70,22,13,16000,1,76,,22 33 57 59 37 41 45 56 59 88 17 18 36 40 42 46 47 70
SRC_MISMATCH_INVALID_EDGE,80,68,3,80 86,27,0,16000,1,76,,27 80 86
SRC_MISMATCH_INVALID_EDGE,51,69,4,51 43 62,7,2,16000,1,62,3,7 51 43 62
SRC_MISMATCH,46,70,4,46 75 86,3,1,16000,1,86,3,3 46 75 86
SRC_MISMATCH_INVALID_EDGE,43,71,12,43 69 24 40 42 53 69 46 52 60 69,20,6,16000,1,69,2,20 43 69 24 40 42 53 69 46 52 60 69
SRC_MISMATCH,40,72,4,40 42 63,3,2,16000,1,63,3,3 40 42 63
SRC_MISMATCH_INVALID_EDGE,69,73,5,69 37 42 69,25,2,16000,1,66,,25 69 37 42 69
SRC_MISMATCH_INVALID_EDGE,46,74,6,46 47 56 57 60,20,4,16000,1,70,,20 46 47 56 57 60
SRC_MISMATCH,55,75,3,55 60,26,1,16000,1,60,2,26 55 60
SRC_MISMATCH_INVALID_EDGE,27,76,7,27 41 58 63 66 71,17,2,16000,1,71,6,17 27 41 58 63 66 71
SRC_MISMATCH_INVALID_EDGE,36,77,4,36 72 75,21,1,16000,1,72,2,21 36 72 75
SRC_MISMATCH_NO_TARGET,27,78,5,27 48 76 80,15,1,16000,1,83,,15 27 48 76 80
SRC_MISMATCH_INVALID_EDGE,40,79,5,40 66 67 71,27,1,16000,1,69,,27 40 66 67 71
SRC_MISMATCH_INVALID_EDGE,13,80,14,13 19 33 54 55 72 44 53 57 60 63 66 72,5,6,16000,1,72,6,5 13 19 33 54 55 72 44 53 57 60 63 66 72
