category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SRC_MISMATCH,24,0,9,24 47 50 52 61 64 65 67,12,3,45000,1,67,8,12 24 47 50 52 61 64 65 67
SRC_MISMATCH_NO_TARGET,22,1,4,22 29 36,9,1,45000,1,60,,9 22 29 36
SRC_MISMATCH_INVALID_EDGE,16,2,12,16 40 42 54 6 16 28 37 40 42 54,6,7,45000,1,88,,6 16 40 42 54 6 16 28 37 40 42 54
SRC_MISMATCH,37,3,6,37 55 62 65 68,11,2,45000,1,68,5,11 37 55 62 65 68
SRC_MISMATCH_INVALID_EDGE,38,4,4,38 43 47,21,3,45000,1,75,,21 38 43 47
SRC_MISMATCH_NO_TARGET,17,5,8,17 27 28 34 56 57 60,1,3,45000,1,67,,1 17 27 28 34 56 57 60
SRC_MISMATCH_NO_TARGET,35,6,4,35 51 55,23,3,45000,1,74,,23 35 51 55
SRC_MISMATCH_INVALID_EDGE,80,7,4,80 82 87,19,0,45000,1,87,3,19 80 82 87
SRC_MISMATCH_INVALID_EDGE,37,8,5,37 54 58 84,5,3,45000,1,64,,5 37 54 58 84
SRC_MISMATCH,41,9,4,41 51 71,26,2,45000,1,71,3,26 41 51 71
SRC_MISMATCH_NO_TARGET,26,10,4,26 28 47,25,1,45000,1,70,,25 26 28 47
SRC_MISMATCH,42,11,5,42 63 66 69,17,1,45000,1,69,4,17 42 63 66 69
SRC_MISMATCH,31,12,6,31 37 55 60 71,20,3,45000,1,71,5,20 31 37 55 60 71
SRC_MISMATCH_NO_TARGET,24,13,10,24 27 37 41 46 52 60 63 66,0,4,45000,1,69,,0 24 27 37 41 46 52 60 63 66
SRC_MISMATCH_NO_TARGET,41,14,3,41 51,26,2,45000,1,65,,26 41 51
SRC_MISMATCH,57,15,3,57 66,2,1,45000,1,66,2,2 57 66
SRC_MISMATCH_NO_TARGET,41,16,3,41 51,26,2,45000,1,74,,26 41 51
SRC_MISMATCH_INVALID_EDGE,35,17,6,35 51 23 35 51,23,4,45000,1,89,,23 35 51 23 35 51
SRC_MISMATCH_NO_TARGET,9,18,4,9 22 33,7,1,45000,1,84,,7 9 22 33
SRC_MISMATCH_NO_TARGET,33,19,4,33 48 57,20,3,45000,1,80,,20 33 48 57
SRC_MISMATCH_NO_TARGET,24,20,4,24 35 40,14,2,45000,1,79,,14 24 35 40
SRC_MISMATCH_INVALID_EDGE,39,21,10,39 43 47 56 42 46 47 56 57,26,9,45000,1,61,,26 39 43 47 56 42 46 47 56 57
SRC_MISMATCH_NO_TARGET,37,22,5,37 43 54 58,18,4,45000,1,85,,18 37 43 54 58
SRC_MISMATCH_NO_TARGET,46,23,3,46 47,22,2,45000,1,70,,22 46 47
SRC_MISMATCH_INVALID_EDGE,14,24,8,14 42 4 19 32 42 45,4,4,45000,1,68,,4 14 42 4 19 32 42 45
SRC_MISMATCH_INVALID_EDGE,43,25,8,43 47 56 20 43 47 56,20,6,45000,1,83,,20 43 47 56 20 43 47 56
SRC_MISMATCH,45,26,6,45 49 66 67 71,28,2,45000,1,71,5,28 45 49 66 67 71
SRC_MISMATCH_NO_TARGET,37,27,3,37 55,27,2,45000,1,78,,27 37 55
SRC_MISMATCH_INVALID_EDGE,26,28,5,26 28 74 82,16,0,45000,1,82,4,16 26 28 74 82
SRC_MISMATCH_INVALID_EDGE,63,29,5,63 66 72 78,29,0,45000,1,78,4,29 63 66 72 78
SRC_MISMATCH_INVALID_EDGE,80,30,3,80 83,2,0,45000,1,83,2,2 80 83
SRC_MISMATCH_NO_TARGET,15,31,4,15 22 38,10,1,45000,1,78,,10 15 22 38
SRC_MISMATCH_INVALID_EDGE,48,32,5,48 67 81 85,19,1,45000,1,85,4,19 48 67 81 85
SRC_MISMATCH_NO_TARGET,24,33,4,24 35 40,14,2,45000,1,69,,14 24 35 40
SRC_MISMATCH,47,34,7,47 56 60 64 65 68,18,2,45000,1,68,6,18 47 56 60 64 65 68
SRC_MISMATCH,35,35,4,35 51 75,0,2,45000,1,75,3,0 35 51 75
SRC_MISMATCH_NO_TARGET,27,36,4,27 35 40,24,2,45000,1,66,,24 27 35 40
