category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SRC_MISMATCH_INVALID_EDGE,58,0,6,58 61 64 65 67,12,1,15000,1,67,5,12 58 61 64 65 67
SRC_MISMATCH,16,1,7,16 43 47 56 57 60,9,4,15000,1,60,6,9 16 43 47 56 57 60
SRC_MISMATCH_NO_TARGET,17,2,5,17 40 42 53,6,3,15000,1,88,,6 17 40 42 53
SRC_MISMATCH_INVALID_EDGE,35,3,9,35 46 11 29 35 40 42 46,11,6,15000,1,68,,11 35 46 11 29 35 40 42 46
SRC_MISMATCH,24,4,6,24 42 46 74 75,21,2,15000,1,75,5,21 24 42 46 74 75
SRC_MISMATCH_NO_TARGET,17,5,3,17 42,1,1,15000,1,67,,1 17 42
SRC_MISMATCH_NO_TARGET,35,6,4,35 51 55,23,3,15000,1,74,,23 35 51 55
SRC_MISMATCH,42,7,7,42 53 69 76 82 87,19,2,15000,1,87,6,19 42 53 69 76 82 87
SRC_MISMATCH_NO_TARGET,19,8,4,19 44 53,5,2,15000,1,64,,5 19 44 53
SRC_MISMATCH_NO_TARGET,28,9,11,28 34 42 45 49 60 64 65 67 78,26,4,15000,1,71,,26 28 34 42 45 49 60 64 65 67 78
SRC_MISMATCH,26,10,6,26 28 53 57 70,25,2,15000,1,70,5,25 26 28 53 57 70
SRC_MISMATCH,42,11,3,42 69,17,1,15000,1,69,2,17 42 69
SRC_MISMATCH,33,12,9,33 48 57 59 64 65 67 71,20,4,15000,1,71,8,20 33 48 57 59 64 65 67 71
SRC_MISMATCH,35,13,10,35 40 42 46 52 60 63 66 69,0,5,15000,1,69,9,0 35 40 42 46 52 60 63 66 69
SRC_MISMATCH_NO_TARGET,28,14,4,28 37 40,26,2,15000,1,65,,26 28 37 40
SRC_MISMATCH_NO_TARGET,4,15,4,4 29 36,2,1,15000,1,66,,2 4 29 36
SRC_MISMATCH_INVALID_EDGE,69,16,3,69 76,26,0,15000,1,74,,26 69 76
SRC_MISMATCH_INVALID_EDGE,35,17,4,35 23 35,23,2,15000,1,89,,23 35 23 35
SRC_MISMATCH_INVALID_EDGE,78,18,3,78 84,7,0,15000,1,84,2,7 78 84
SRC_MISMATCH_NO_TARGET,41,19,3,41 46,20,2,15000,1,80,,20 41 46
SRC_MISMATCH_NO_TARGET,24,20,8,24 35 40 42 46 65 67,14,4,15000,1,79,,14 24 35 40 42 46 65 67
SRC_MISMATCH_NO_TARGET,28,21,8,28 34 42 45 49 50 52,26,6,15000,1,61,,26 28 34 42 45 49 50 52
SRC_MISMATCH_INVALID_EDGE,37,22,8,37 41 47 18 37 41 47,18,6,15000,1,85,,18 37 41 47 18 37 41 47
SRC_MISMATCH,33,23,5,33 48 57 70,22,3,15000,1,70,4,22 33 48 57 70
SRC_MISMATCH_NO_TARGET,14,24,8,14 18 32 34 42 46 55,4,5,15000,1,68,,4 14 18 32 34 42 46 55
SRC_MISMATCH_NO_TARGET,26,25,4,26 28 53,20,1,15000,1,83,,20 26 28 53
SRC_MISMATCH,48,26,5,48 57 60 71,28,2,15000,1,71,4,28 48 57 60 71
SRC_MISMATCH_NO_TARGET,35,27,4,35 46 55,27,3,15000,1,78,,27 35 46 55
SRC_MISMATCH_INVALID_EDGE,64,28,4,64 80 82,16,0,15000,1,82,3,16 64 80 82
