avg_path_length,avg_stage2_count,avg_target_index,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_SRC_MISMATCH,count_SRC_MISMATCH_NO_TARGET,count_STOP_BEFORE_START,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_SRC_MISMATCH,rate_SRC_MISMATCH_NO_TARGET,rate_STOP_BEFORE_START,rate_SUCCESS,step
3.2733333333333334,1.5933333333333333,7.029411764705882,13,303,,26,99,2,7,450,0.028888888888888888,0.6733333333333333,,0.057777777777777775,0.22,0.0044444444444444444,0.015555555555555555,2000
2.8244444444444445,1.1444444444444444,6.722222222222222,9,327,,23,75,4,12,450,0.02,0.7266666666666667,,0.051111111111111114,0.16666666666666666,0.008888888888888889,0.02666666666666667,4000
4.08,1.9266666666666667,7.19811320754717,2,307,,29,36,,76,450,0.0044444444444444444,0.6822222222222222,,0.06444444444444444,0.08,,0.1688888888888889,6000
3.4844444444444442,1.5466666666666666,6.9868421052631575,6,366,,2,6,,70,450,0.013333333333333334,0.8133333333333334,,0.0044444444444444444,0.013333333333333334,,0.15555555555555556,8000
5.886666666666667,2.648888888888889,7.058295964125561,28,215,1,,,,206,450,0.06222222222222222,0.4777777777777778,0.0022222222222222222,,,,0.4577777777777778,10000
5.811111111111111,2.4355555555555557,7.147321428571429,29,199,,7,1,,214,450,0.06444444444444444,0.44222222222222224,,0.015555555555555555,0.0022222222222222222,,0.47555555555555556,12000
5.4222222222222225,2.08,7.074074074074074,27,197,,4,1,,221,450,0.06,0.43777777777777777,,0.008888888888888889,0.0022222222222222222,,0.4911111111111111,14000
6.944444444444445,3.1622222222222223,7.344936708860759,18,118,,,,,314,450,0.04,0.26222222222222225,,,,,0.6977777777777778,16000
6.94,3.1555555555555554,7.239644970414201,8,102,,1,2,,337,450,0.017777777777777778,0.22666666666666666,,0.0022222222222222222,0.0044444444444444444,,0.7488888888888889,18000
6.246666666666667,2.9266666666666667,6.904214559386973,,187,,3,2,,258,450,,0.41555555555555557,,0.006666666666666667,0.0044444444444444444,,0.5733333333333334,20000
