avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_INVALID_TOKEN,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_INVALID_TOKEN,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
3.78,0.7222222222222222,51,0,279,17,0,103,450,0.11333333333333333,0,0.62,0.03777777777777778,0,0.2288888888888889,2000,s1s3
6.5311111111111115,1.6977777777777778,39,0,260,56,0,95,450,0.08666666666666667,0,0.5777777777777777,0.12444444444444444,0,0.2111111111111111,4000,s1s3
6.9222222222222225,1.3333333333333333,50,0,256,63,10,71,450,0.1111111111111111,0,0.5688888888888889,0.14,0.022222222222222223,0.15777777777777777,6000,s1s3
6.226666666666667,0.62,59,0,251,53,25,62,450,0.13111111111111112,0,0.5577777777777778,0.11777777777777777,0.05555555555555555,0.13777777777777778,8000,s1s3
6.14,0.7977777777777778,75,0,243,49,28,55,450,0.16666666666666666,0,0.54,0.10888888888888888,0.06222222222222222,0.12222222222222222,10000,s1s3
5.466666666666667,1.5377777777777777,61,0,252,34,22,81,450,0.13555555555555557,0,0.56,0.07555555555555556,0.04888888888888889,0.18,12000,s1s3
6.02,0.6311111111111111,69,0,246,47,47,41,450,0.15333333333333332,0,0.5466666666666666,0.10444444444444445,0.10444444444444445,0.09111111111111111,14000,s1s3
6.868888888888889,0.9488888888888889,73,2,245,50,36,44,450,0.1622222222222222,0.0044444444444444444,0.5444444444444444,0.1111111111111111,0.08,0.09777777777777778,16000,s1s3
9.124444444444444,0.8311111111111111,66,0,245,95,33,11,450,0.14666666666666667,0,0.5444444444444444,0.2111111111111111,0.07333333333333333,0.024444444444444446,18000,s1s3
8.608888888888888,0.9777777777777777,66,2,244,82,31,25,450,0.14666666666666667,0.0044444444444444444,0.5422222222222223,0.18222222222222223,0.06888888888888889,0.05555555555555555,20000,s1s3
