avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_INVALID_TOKEN,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_INVALID_TOKEN,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
28.266666666666666,0.9703703703703703,131,1.2197802197802199,1.0,0.9851851851851852,133,0.9774436090225563,0.9774436090225563,130,130,133,133,0.6923076923076923,90,130,0.5555555555555556,50,90,0.37037037037037035,0.4740740740740741,64,0.007407407407407408,1,0.014814814814814815,2,1.0,1.7251908396946565,2.0,131,0.4740740740740741,64,0.9851851851851852,133,0.7037037037037037,95,1.0,135,30,68,0,20,17,0.2222222222222222,0.5037037037037037,0,0.14814814814814814,0.1259259259259259,0.0,0,0.2740740740740741,37,0.674074074074074,91,0.37037037037037035,50,2000,0.0,0.37037037037037035,50,50,0,0,s1s3,135,0.7925925925925926,107
28.266666666666666,0.9555555555555556,129,1.2637362637362637,1.0,0.9555555555555556,129,0.9767441860465116,0.9767441860465116,126,126,129,129,0.7063492063492064,89,126,0.29213483146067415,26,89,0.1925925925925926,0.4148148148148148,56,0.007407407407407408,1,0.044444444444444446,6,1.0,2.116279069767442,2.0,129,0.4148148148148148,56,0.9555555555555556,129,0.7185185185185186,97,1.0,135,43,58,2,13,19,0.31851851851851853,0.42962962962962964,0.014814814814814815,0.0962962962962963,0.14074074074074075,0.0,0,0.2518518518518518,34,0.674074074074074,91,0.1925925925925926,26,4000,0.0,0.1925925925925926,26,26,0,0,s1s3,135,0.8296296296296296,112
28.266666666666666,0.9851851851851852,133,1.4653465346534653,1.0,0.9481481481481482,128,1.0,1.0,128,128,128,128,0.7578125,97,128,0.16494845360824742,16,97,0.11851851851851852,0.5777777777777777,78,0.007407407407407408,1,0.05185185185185185,7,1.0,1.7593984962406015,1.0,133,0.5777777777777777,78,0.9481481481481482,128,0.762962962962963,103,1.0,135,56,48,2,1,28,0.4148148148148148,0.35555555555555557,0.014814814814814815,0.007407407407407408,0.2074074074074074,0.0,0,0.22962962962962963,31,0.7481481481481481,101,0.11851851851851852,16,6000,0.0,0.11851851851851852,16,16,0,0,s1s3,135,0.9703703703703703,131
28.266666666666666,0.9481481481481482,128,1.40625,1.0,0.9407407407407408,127,1.0,1.0,127,127,127,127,0.7559055118110236,96,127,0.052083333333333336,5,96,0.03703703703703704,0.6370370370370371,86,0.022222222222222223,3,0.05925925925925926,8,1.0,1.4296875,1.0,128,0.6370370370370371,86,0.9407407407407408,127,0.762962962962963,103,1.0,135,72,32,4,5,22,0.5333333333333333,0.23703703703703705,0.02962962962962963,0.037037037037037035,0.16296296296296298,0.0,0,0.22962962962962963,31,0.7111111111111111,96,0.037037037037037035,5,8000,-6.938893903907228e-18,0.037037037037037035,5,5,0,0,s1s3,135,0.9037037037037037,122
28.266666666666666,0.9555555555555556,129,1.1348314606741574,1.0,0.9259259259259259,125,0.992,0.992,124,124,125,125,0.7016129032258065,87,124,0.06896551724137931,6,87,0.044444444444444446,0.4962962962962963,67,0.007407407407407408,1,0.07407407407407407,10,1.0,2.0232558139534884,1.0,129,0.4962962962962963,67,0.9259259259259259,125,0.7037037037037037,95,1.0,135,76,30,3,1,25,0.562962962962963,0.2222222222222222,0.022222222222222223,0.007407407407407408,0.18518518518518517,0.0,0,0.21481481481481482,29,0.6592592592592592,89,0.044444444444444446,6,10000,0.0,0.044444444444444446,6,6,0,0,s1s3,135,0.8740740740740741,118
28.266666666666666,0.9259259259259259,125,1.2619047619047619,1.0,0.9037037037037037,122,0.9918032786885246,0.9918032786885246,121,121,122,122,0.6776859504132231,82,121,0.0,0,82,0.0,0.562962962962963,76,0.022222222222222223,3,0.0962962962962963,13,1.0,1.728,1.0,125,0.5703703703703704,77,0.9037037037037037,122,0.6962962962962963,94,1.0,135,82,17,3,0,33,0.6074074074074074,0.1259259259259259,0.022222222222222223,0,0.24444444444444444,0.0,0,0.26666666666666666,36,0.6222222222222222,84,0.0,0,12000,0.0,0.0,0,0,0,0,s1s3,135,0.8888888888888888,120
28.266666666666666,0.8740740740740741,118,1.2142857142857142,1.0,0.8666666666666667,117,0.9829059829059829,0.9829059829059829,115,115,117,117,0.7304347826086957,84,115,0.0,0,84,0.0,0.4962962962962963,67,0.022222222222222223,3,0.13333333333333333,18,1.0,1.8898305084745763,1.0,118,0.4962962962962963,67,0.8666666666666667,117,0.7481481481481481,101,1.0,135,92,14,1,2,26,0.6814814814814815,0.1037037037037037,0.007407407407407408,0.014814814814814815,0.1925925925925926,0.0,0,0.21481481481481482,29,0.6222222222222222,84,0.0,0,14000,0.0,0.0,0,0,0,0,s1s3,135,0.8074074074074075,109
28.266666666666666,0.9037037037037037,122,1.146341463414634,1.0,0.8888888888888888,120,0.9916666666666667,0.9916666666666667,119,119,120,120,0.6890756302521008,82,119,0.0,0,82,0.0,0.5185185185185185,70,0.022222222222222223,3,0.1111111111111111,15,1.0,1.8934426229508197,1.0,122,0.5185185185185185,70,0.8888888888888888,120,0.7037037037037037,95,1.0,135,81,17,6,0,31,0.6,0.1259259259259259,0.044444444444444446,0,0.22962962962962963,0.0,0,0.2740740740740741,37,0.6074074074074074,82,0.0,0,16000,0.0,0.0,0,0,0,0,s1s3,135,0.8814814814814815,119
28.266666666666666,0.8962962962962963,121,1.4767441860465116,1.0,0.8888888888888888,120,0.9916666666666667,0.9916666666666667,119,119,120,120,0.7226890756302521,86,119,0.0,0,86,0.0,0.5407407407407407,73,0.022222222222222223,3,0.1111111111111111,15,1.0,1.834710743801653,1.0,121,0.5407407407407407,73,0.8888888888888888,120,0.7407407407407407,100,1.0,135,99,7,2,2,25,0.7333333333333333,0.05185185185185185,0.014814814814814815,0.014814814814814815,0.18518518518518517,0.0,0,0.21481481481481482,29,0.6370370370370371,86,0.0,0,18000,0.0,0.0,0,0,0,0,s1s3,135,0.8296296296296296,112
28.266666666666666,0.9407407407407408,127,1.4705882352941178,1.0,0.8888888888888888,120,0.9916666666666667,0.9916666666666667,119,119,120,120,0.6638655462184874,79,119,0.02531645569620253,2,79,0.014814814814814814,0.5555555555555556,75,0.022222222222222223,3,0.1111111111111111,15,1.0,1.9448818897637796,1.0,127,0.5777777777777777,78,0.8888888888888888,120,0.6962962962962963,94,1.0,135,68,27,6,3,31,0.5037037037037037,0.2,0.044444444444444446,0.022222222222222223,0.22962962962962963,0.0,0,0.2962962962962963,40,0.6296296296296297,85,0.014814814814814815,2,20000,1.734723475976807e-18,0.014814814814814815,2,2,0,0,s1s3,135,0.9111111111111111,123
